Ticker,Date,Time,Title,Sentiment,Sentiment_Label
AAPL,2025-04-24,08:35AM,Swiss Pharma Giant Roche To Invest $50B in US Amid Tariff Threat,-0.5267,negative
AAPL,2025-04-24,08:00AM,How to trade the Magnificent 7 amid the market sell-off,0.5994,positive
AAPL,2025-04-24,08:00AM,22% of Warren Buffett-Led Berkshire Hathaway's $265 Billion Portfolio Is Invested in Only 1 Stock,0.0,neutral
AAPL,2025-04-24,07:30AM,Breaking Down Taiwan Semiconductor's Earnings and Future Upside,0.0,neutral
AAPL,2025-04-24,07:00AM,Warren Buffett Timed His Apple Stock Sale to Perfection. Whats Next?,0.5719,positive
AAPL,2025-04-24,06:30AM,The iPhones biggest rival may have one advantage in Trumps tariff war,-0.4404,negative
AAPL,2025-04-24,06:20AM,Is Invesco FTSE RAFI US 1000 ETF (PRF) a Strong ETF Right Now?,0.5106,positive
AAPL,2025-04-24,06:20AM,Is iShares MSCI USA Quality GARP ETF (GARP) a Strong ETF Right Now?,0.5106,positive
AAPL,2025-04-24,05:30AM,Should You Buy Apple Stock Before May 1?,0.0,neutral
AAPL,2025-04-24,05:29AM,"Despite Cutting Apple's Price Target, Wedbush's Dan Ives Remains Bullish on the Stock for the Long Term. Should You?",0.0951,positive
AAPL,2025-04-24,04:54AM,Trump's Tariffs Continue to Affect Apple. Should Investors Sell the Stock?,0.0,neutral
AAPL,2025-04-24,04:46AM,3 Unstoppable Growth Stocks Down 20% or More to Buy and Hold,0.2023,positive
AAPL,2025-04-24,03:49AM,Apple Inc. (AAPL) to Use On-Device Data and Synthetic Inputs to Boost AI Capabilities,0.4019,positive
AAPL,2025-04-24,02:09AM,Apple's Next Chapter: Why Services And AI Could Drive The Stock Higher,0.0,neutral
AAPL,2025-04-21,10:56PM,Sunwoda boosts Vietnam investment amid strong 2024 profit and global expansion plans,0.8176,positive
AAPL,2025-04-24,10:16PM,Apple Inc. (AAPL): Among Stocks That Could 10X Over the Next 2 Years,0.0,neutral
AAPL,2025-04-24,05:52PM,Can President Trump Fire Fed Chair Jerome Powell?,-0.34,negative
AAPL,2025-04-24,05:45PM,Apple (AAPL) Stock Moves -1.94%: What You Should Know,0.0,neutral
AAPL,2025-04-24,05:35PM,Apple's China Dependence Leaves It Exposed as Tariff Risks Rise,-0.34,negative
AAPL,2025-04-24,05:22PM,"Apple's China Gamble at Risk as Global Tariff War Heats Up, Analyst Warns",-0.7506,negative
AAPL,2025-04-24,04:44PM,The 7th Circle of Uncertainty and Sanctity of the Fed,-0.34,negative
AAPL,2025-04-24,03:00PM,Apple Faces Growing Risk If China Trade Tensions Spread Globally,-0.4767,negative
AAPL,2025-04-24,03:00PM,"Apple vs. Meta Platforms: Which ""Magnificent Seven"" Stock Has More Upside After the Recent Sell-Off?",0.5994,positive
AAPL,2025-04-24,03:00PM,"Apple Shares Dip 21% Year to Date: Buy, Sell or Hold the Stock?",0.296,positive
AAPL,2025-04-24,02:56PM,Famous Analyst Cuts Apple (AAPL) Price Target Amid Lack of 'Predictability' Over AI,-0.5423,negative
AAPL,2025-04-24,02:19PM,Apple vs. Dell Technologies: Which PC Maker Stock is a Better Buy?,0.4404,positive
AAPL,2025-04-24,02:00PM,"How To Build A $500,000 Dividend Portfolio That Could Yield 18.35% In 20 Years",0.0,neutral
AAPL,2025-04-24,01:43PM,Apple's $500B Gamble: Why Tim Cook Is Running Out of Time,0.0,neutral
